,name,stars,forks,language,license
115,mermaid,78629,7438,TypeScript,MIT
116,core,78296,33418,Python,Apache-2.0
117,bun,77701,3041,Zig,NOASSERTION
118,advanced-java,77507,19181,Java,CC-BY-SA-4.0
119,models,77497,45616,Python,NOASSERTION
120,manim,77027,6663,Python,MIT
121,spring-boot,76927,41111,Java,Apache-2.0
122,LeetCodeAnimation,75864,13985,Java,
123,ComfyUI,75349,8210,Python,GPL-3.0
124,Font-Awesome,75136,12211,JavaScript,NOASSERTION
125,devops-exercises,74885,16697,Python,NOASSERTION
126,awesome-interview-questions,74554,9067,,
127,netdata,74391,6049,C,GPL-3.0
128,json-server,74099,7129,JavaScript,NOASSERTION
129,awesome-for-beginners,73486,7235,,
130,gpt4all,73194,7977,C++,MIT
131,awesome-vue,72825,9470,,MIT
132,github-readme-stats,72813,24527,JavaScript,MIT
133,funNLP,72686,14818,Python,
134,elasticsearch,72491,25180,Java,NOASSERTION
135,vite,72356,6642,TypeScript,MIT
136,playwright,72119,4096,TypeScript,Apache-2.0
137,ML-For-Beginners,72012,15545,HTML,MIT
138,system-design-101,71890,7637,,NOASSERTION
139,hoppscotch,71400,4900,TypeScript,MIT
140,code-server,71362,5902,TypeScript,MIT
141,nest,70606,7835,TypeScript,MIT
142,stable-diffusion,70466,10400,Jupyter Notebook,NOASSERTION
143,Front-End-Checklist,69969,6487,,CC0-1.0
144,screenshot-to-code,69717,8605,Python,MIT
145,fzf,69693,2506,Go,MIT
146,syncthing,69675,4490,Go,MPL-2.0
147,moby,69621,18736,Go,Apache-2.0
148,flask,69408,16372,Python,BSD-3-Clause
149,redis,68839,23979,C,NOASSERTION
150,d2l-zh,68800,11582,Python,Apache-2.0
151,reveal.js,68767,16714,JavaScript,MIT
152,cs-video-courses,68571,9277,,
153,node,68498,2683,Shell,MIT
154,swift,68497,10461,C++,Apache-2.0
155,gpt_academic,68287,8335,Python,GPL-3.0
156,awesome-machine-learning,67788,14873,Python,NOASSERTION
157,awesome-react,67768,7332,,
158,uptime-kuma,67749,5951,JavaScript,MIT
159,grafana,67691,12566,TypeScript,AGPL-3.0
160,protobuf,67387,15687,C++,NOASSERTION
161,express,66845,18310,JavaScript,MIT
162,Best-websites-a-programmer-should-visit,66655,8119,,MIT
163,cpython,66602,31718,Python,NOASSERTION
164,tesseract,66417,9841,C++,Apache-2.0
165,strapi,66377,8509,TypeScript,NOASSERTION
166,Ventoy,66259,4236,C,GPL-3.0
167,superset,65921,14912,Jupyter Notebook,Apache-2.0
168,Chart.js,65774,11940,JavaScript,MIT
169,webpack,65236,9077,JavaScript,MIT
170,33-js-concepts,65087,9101,JavaScript,MIT
171,imgui,65038,10813,C++,MIT
172,PayloadsAllTheThings,64970,15283,Python,MIT
173,ansible,64842,24018,Python,GPL-3.0
174,immich,64450,3378,TypeScript,AGPL-3.0
175,gpt4free,64121,13615,Python,GPL-3.0
176,interviews,64094,12917,Java,MIT
177,sherlock,63878,7391,Python,MIT
178,caddy,63862,4273,Go,Apache-2.0
179,javascript-questions,63834,9080,,MIT
180,obs-studio,63764,8365,C,GPL-2.0
181,openai-cookbook,63561,10324,MDX,MIT
182,echarts,63362,19713,TypeScript,Apache-2.0
183,tabby,63360,3585,TypeScript,MIT
184,awesome-cpp,63281,7962,,MIT
185,the-algorithm,63122,12160,Scala,AGPL-3.0
186,awesome-public-datasets,62966,10106,,MIT
187,cs-self-learning,62956,7302,HTML,MIT
188,keras,62925,19575,Python,Apache-2.0
189,nocode,62623,4745,Dockerfile,Apache-2.0
190,AppFlowy,62448,4205,Dart,AGPL-3.0
191,SecLists,62410,24299,PHP,MIT
192,resume.github.com,62387,1357,JavaScript,
193,sway,62327,5387,Rust,Apache-2.0
194,socket.io,61956,10142,TypeScript,MIT
195,scikit-learn,61862,25776,Python,BSD-3-Clause
196,Apollo-11,61701,7190,Assembly,NOASSERTION
197,awesome-scalability,61617,6226,,MIT
198,Java,61453,19876,Java,MIT
199,redux,61172,15249,TypeScript,MIT
200,new-pac,60744,9895,Python,
201,awesome-nodejs,60707,6021,,CC0-1.0
202,design-resources-for-developers,60500,11699,,MIT
203,localsend,60495,3229,Dart,Apache-2.0
204,atom,60414,17347,JavaScript,MIT
205,lodash,60383,7066,JavaScript,NOASSERTION
206,annotated_deep_learning_paper_implementations,60311,6088,Python,MIT
207,act,60306,1539,Go,MIT
208,Front-end-Developer-Interview-Questions,60261,11097,Nunjucks,MIT
209,awesome-courses,60196,8200,,
210,architect-awesome,60160,17804,,
211,markdown-here,59890,11224,JavaScript,MIT
212,docusaurus,59584,9006,TypeScript,MIT
213,jquery,59504,20615,JavaScript,MIT
214,lobe-chat,59371,12575,TypeScript,NOASSERTION
215,lazygit,59291,2029,Go,MIT
216,open-interpreter,59206,5043,Python,AGPL-3.0
217,anime,59163,4003,JavaScript,MIT
218,shadowsocks-windows,58774,16366,C#,NOASSERTION
219,angular.js,58741,27406,JavaScript,MIT
220,localstack,58732,4144,Python,NOASSERTION
221,alacritty,58449,3094,Rust,Apache-2.0
222,prometheus,58305,9533,Go,Apache-2.0
223,llama,58157,9749,Python,NOASSERTION
224,browser-use,58129,6264,Python,MIT
225,spring-framework,57935,38456,Java,Apache-2.0
226,rustlings,57887,10565,Rust,MIT
227,fuel-core,57691,2847,Rust,NOASSERTION
228,nerd-fonts,57496,3743,CSS,NOASSERTION
229,zed,57470,3956,Rust,NOASSERTION
230,html5-boilerplate,56907,12289,JavaScript,MIT
231,nuxt,56893,5236,TypeScript,MIT
232,rails,56798,21825,Ruby,MIT
233,Stirling-PDF,56756,4756,Java,MIT
234,ghidra,56565,6323,Java,Apache-2.0
235,langflow,56513,6171,Python,MIT
236,clash-verge-rev,56169,4351,TypeScript,GPL-3.0
237,DeepLearning-500-questions,55863,15958,JavaScript,GPL-3.0
238,gatsby,55833,10294,JavaScript,MIT
239,leetcode-master,55734,11962,Shell,
240,private-gpt,55702,7467,Python,Apache-2.0
241,awesome-flutter,55608,6745,Dart,
242,you-get,55522,9752,Python,NOASSERTION
243,Prompt-Engineering-Guide,55433,5456,MDX,MIT
244,leetcode,55279,9482,JavaScript,NOASSERTION
245,union,55242,2786,Rust,Apache-2.0
246,scrapy,55017,10765,Python,BSD-3-Clause
247,MetaGPT,55013,6536,Python,MIT
248,tldr,54921,4426,Markdown,NOASSERTION
249,awesome-chatgpt-prompts-zh,54824,13568,,MIT
250,face_recognition,54650,13596,Python,MIT
251,react-router,54631,10561,TypeScript,MIT
252,git,54558,26150,C,NOASSERTION
253,weekly,54549,3201,,
254,markitdown,54480,2726,Python,MIT
255,traefik,54400,5308,Go,MIT
256,element,54230,14632,Vue,MIT
257,drawio-desktop,54116,5246,JavaScript,Apache-2.0
258,Real-Time-Voice-Cloning,54070,8948,Python,NOASSERTION
259,gpt-engineer,54009,7086,Python,MIT
260,nocodb,53995,3798,TypeScript,AGPL-3.0
261,faceswap,53745,13374,Python,GPL-3.0
262,ChatGPT,53719,6078,Rust,
263,yolov5,53584,16851,Python,AGPL-3.0
264,OpenHands,53479,5976,Python,MIT
265,mkcert,53248,2795,Go,BSD-3-Clause
266,openpilot,53188,9658,Python,MIT
267,normalize.css,53068,10590,CSS,MIT
268,uBlock,52988,3457,JavaScript,GPL-3.0
269,requests,52794,9437,Python,Apache-2.0
270,Magisk,52444,13731,C++,GPL-3.0
271,bat,52328,1288,Rust,Apache-2.0
272,awesome-android-ui,52296,10222,,MIT
273,hackingtool,52247,5629,Python,MIT
274,project-layout,52067,5310,Makefile,NOASSERTION
275,minio,52030,5787,Go,AGPL-3.0
276,zustand,51914,1656,TypeScript,MIT
277,ripgrep,51890,2110,Rust,Unlicense
278,rich,51838,1826,Python,MIT
279,ionic-framework,51661,13471,TypeScript,MIT
280,pi-hole,51619,2809,Shell,NOASSERTION
281,uv,51474,1451,Rust,Apache-2.0
282,material-design-icons,51447,9644,,Apache-2.0
283,Semantic-UI,51165,4924,JavaScript,MIT
284,meilisearch,50796,2008,Rust,MIT
285,Deep-Live-Cam,50780,7548,Python,AGPL-3.0
286,astro,50720,2710,TypeScript,NOASSERTION
287,guava,50708,10982,Java,Apache-2.0
288,pdf.js,50559,10271,JavaScript,Apache-2.0
289,github-cheat-sheet,50515,5305,,MIT
290,ragflow,50472,4773,TypeScript,Apache-2.0
291,dive,50472,1868,Go,MIT
292,kotlin,50410,5894,Kotlin,
293,prettier,50332,4490,JavaScript,MIT
294,Docker-OSX,50276,2805,Shell,GPL-3.0
295,grok-1,50240,8344,Python,Apache-2.0
296,AFFiNE,50160,3304,TypeScript,NOASSERTION
297,rclone,50039,4459,Go,MIT
298,awesome-rust,50022,2890,Rust,CC0-1.0
299,jekyll,49940,10083,Ruby,MIT
300,segment-anything,49870,5876,Jupyter Notebook,Apache-2.0
301,core,49824,8615,TypeScript,MIT
302,bulma,49722,3947,CSS,MIT
303,llm-course,49641,5327,Jupyter Notebook,Apache-2.0
304,DefinitelyTyped,49641,30385,TypeScript,NOASSERTION
305,trackerslist,49614,6645,,GPL-2.0
306,marktext,49465,3626,JavaScript,MIT
307,FFmpeg,49390,12577,C,NOASSERTION
308,etcd,49188,10054,Go,Apache-2.0
309,Ghost,49109,10739,JavaScript,MIT
310,chinese-poetry,49034,9822,JavaScript,MIT
311,joplin,48960,5306,TypeScript,NOASSERTION
312,powerlevel10k,48959,2280,Shell,MIT
313,go-ethereum,48838,20808,Go,LGPL-3.0
314,awesome-ios,48780,6891,Swift,MIT
315,alist,48761,6602,Go,AGPL-3.0
316,PaddleOCR,48685,8162,Python,Apache-2.0
317,ImHex,48670,2107,C++,GPL-2.0
318,cypress,48557,3284,TypeScript,MIT
319,hacker-scripts,48393,6658,JavaScript,
320,starship,48344,2086,Rust,ISC
321,appwrite,48296,4276,TypeScript,BSD-3-Clause
322,gitea,48291,5767,Go,MIT
323,hiring-without-whiteboards,48238,3758,JavaScript,MIT
324,mastodon,48185,7159,Ruby,AGPL-3.0
325,first-contributions,48121,85407,,MIT
326,RxJava,48092,7604,Java,Apache-2.0
327,moment,48075,7063,JavaScript,MIT
328,dayjs,47719,2354,JavaScript,MIT
329,LLaMA-Factory,47680,5816,Python,Apache-2.0
330,professional-programming,47557,3778,Python,MIT
331,awesome-wechat-weapp,47392,8769,,GPL-3.0
332,algorithm-visualizer,47364,7371,JavaScript,MIT
333,Motrix,47318,4623,JavaScript,MIT
334,PowerShell,47141,7608,C#,MIT
335,big-list-of-naughty-strings,47104,2157,Python,MIT
336,100-Days-Of-ML-Code,47081,10900,,MIT
337,julia,46910,5583,Julia,MIT
338,serverless,46666,5741,JavaScript,MIT
339,pocketbase,46590,2293,Go,MIT
340,LLMs-from-scratch,46547,6576,Jupyter Notebook,NOASSERTION
341,design-patterns-for-humans,46322,5400,,
342,okhttp,46318,9205,Kotlin,Apache-2.0
343,gogs,46279,5021,Go,MIT
344,react,46212,4196,JavaScript,MIT
345,Projects,46187,10667,,MIT
346,huginn,46000,3962,Ruby,MIT
347,learn-regex,45998,6270,,MIT
348,30-Days-Of-Python,45988,8768,Python,
349,v2ray-core,45952,8931,Go,MIT
350,x64dbg,45913,2528,C++,NOASSERTION
351,vllm,45855,7089,Python,Apache-2.0
352,GPT-SoVITS,45477,5020,Python,MIT
353,json,45408,6951,C++,MIT
354,pandas,45248,18447,Python,BSD-3-Clause
355,quill,45215,3489,TypeScript,BSD-3-Clause
356,FreeDomain,45183,972,HTML,AGPL-3.0
357,type-challenges,45171,4921,TypeScript,MIT
358,terraform,45062,9827,Go,NOASSERTION
359,pixijs,44999,4850,TypeScript,MIT
360,architecture-samples,44965,11733,Kotlin,Apache-2.0
361,query,44887,3139,TypeScript,MIT
362,open-source-ios-apps,44782,5527,,CC0-1.0
363,jest,44724,6532,TypeScript,MIT
364,OpenManus,44696,7664,Python,MIT
365,meteor,44643,5208,JavaScript,NOASSERTION
366,AdminLTE,44527,18195,Astro,MIT
367,Fooocus,44513,6889,Python,GPL-3.0
368,htmx,44400,1432,JavaScript,NOASSERTION
369,PythonDataScienceHandbook,44370,18282,Jupyter Notebook,MIT
370,awesome-react-components,44261,3594,,CC0-1.0
371,30-Days-Of-JavaScript,44261,10222,JavaScript,
372,zx,44008,1133,JavaScript,Apache-2.0
373,hyper,43909,3533,TypeScript,MIT
374,vaultwarden,43874,2081,Rust,AGPL-3.0
375,discourse,43843,8510,Ruby,GPL-2.0
376,fuels-ts,43810,1374,TypeScript,Apache-2.0
377,fuels-rs,43804,1348,Rust,Apache-2.0
378,parcel,43792,2266,JavaScript,MIT
379,autogen,43750,6592,Python,CC-BY-4.0
380,maybe,43734,3155,Ruby,AGPL-3.0
381,jadx,43725,5045,Java,Apache-2.0
382,lazydocker,43708,1381,Go,MIT
383,open-source-mac-os-apps,43674,2362,,CC0-1.0
384,kubernetes-the-hard-way,43671,14715,,Apache-2.0
385,frontend-dev-bookmarks,43660,5107,,
386,awesome-mcp-servers,43630,3171,,MIT
387,TensorFlow-Examples,43607,14897,Jupyter Notebook,NOASSERTION
388,CppCoreGuidelines,43582,5479,CSS,NOASSERTION
389,lx-music-desktop,43578,6211,TypeScript,Apache-2.0
390,awesome-java,43551,7480,,NOASSERTION
391,babel,43527,5704,TypeScript,MIT
392,build-web-application-with-golang,43524,10619,Go,BSD-3-Clause
393,retrofit,43455,7313,HTML,Apache-2.0
394,brew,43375,10169,Ruby,BSD-2-Clause
395,text-generation-webui,43352,5590,Python,AGPL-3.0
396,anything-llm,43341,4226,JavaScript,MIT
397,dbeaver,43276,3682,Java,Apache-2.0
398,react-hook-form,42957,2166,TypeScript,MIT
399,react-use,42948,3223,TypeScript,Unlicense
400,grpc,42940,10770,C++,Apache-2.0
401,front-end-interview-handbook,42816,5897,MDX,MIT
402,Leaflet,42607,5920,JavaScript,BSD-2-Clause
403,odoo,42555,27496,Python,NOASSERTION
404,Rocket.Chat,42538,11683,TypeScript,NOASSERTION
405,JeecgBoot,42489,15295,Java,Apache-2.0
406,awesome-design-patterns,42393,3048,,
407,acme.sh,42359,5223,Shell,GPL-3.0
408,awesome-cheatsheets,42337,6432,JavaScript,MIT
409,monaco-editor,42272,3723,JavaScript,MIT
410,pm2,42147,2636,JavaScript,NOASSERTION
411,edex-ui,42067,2708,JavaScript,GPL-3.0
412,git-flight-rules,42047,3195,,CC-BY-SA-4.0
413,prisma,42020,1724,TypeScript,Apache-2.0
414,cline,41903,4712,TypeScript,Apache-2.0
415,Alamofire,41869,7606,Swift,MIT
416,reactjs-interview-questions,41852,9844,JavaScript,MIT
417,pyenv,41825,3165,Roff,MIT
418,metabase,41750,5517,Clojure,NOASSERTION
419,what-happens-when,41686,5702,,
420,yarn,41541,2730,JavaScript,NOASSERTION
421,python-patterns,41287,6981,Python,
422,servers,41265,4516,JavaScript,MIT
423,llama_index,41236,5868,Python,MIT
424,OpenBB,41117,3657,Python,NOASSERTION
425,vue2-elm,41096,12410,Vue,GPL-2.0
426,ChatGLM-6B,41041,5224,Python,Apache-2.0
427,spark,41002,28511,Scala,Apache-2.0
428,CPlusPlusThings,40980,8694,C++,
429,dubbo,40935,26526,Java,Apache-2.0
430,nanoGPT,40908,6769,Python,MIT
431,crawl4ai,40888,3695,Python,Apache-2.0
432,termux-app,40866,4415,Java,NOASSERTION
433,swiper,40861,9751,JavaScript,MIT
434,stablediffusion,40858,5210,Python,MIT
435,ColossalAI,40825,4498,Python,Apache-2.0
436,styled-components,40792,2508,TypeScript,MIT
437,nvm-windows,40784,3499,Go,MIT
438,nw.js,40700,3877,JavaScript,MIT
439,uni-app,40693,3675,JavaScript,Apache-2.0
440,kong,40692,4915,Lua,Apache-2.0
441,sentry,40688,4330,Python,NOASSERTION
442,diagrams,40673,2608,Python,MIT
443,ailearning,40661,11543,Python,NOASSERTION
444,coolify,40501,2423,PHP,Apache-2.0
445,vuetify,40450,7002,TypeScript,MIT
446,ClickHouse,40360,7253,C++,Apache-2.0
447,hexo,40265,4916,TypeScript,MIT
448,cobra,40245,2926,Go,Apache-2.0
449,v2rayNG,40209,5945,Kotlin,GPL-3.0
450,iina,40189,2621,Swift,GPL-3.0
451,black,40152,2573,Python,MIT
452,spotube,40110,1655,Dart,NOASSERTION
453,fastlane,40097,5798,Ruby,MIT
454,ultralytics,39930,7741,Python,AGPL-3.0
455,tldraw,39848,2492,TypeScript,NOASSERTION
456,airflow,39832,14932,Python,Apache-2.0
457,typst,39635,1081,Rust,Apache-2.0
458,TTS,39615,5031,Python,MPL-2.0
459,fanqiang,39575,7345,Kotlin,
460,whisper.cpp,39558,4156,C++,MIT
461,expo,39402,6708,TypeScript,MIT
462,WeChatMsg,39386,4126,,
463,cheat.sh,39290,1812,Python,MIT
464,bevy,39201,3860,Rust,Apache-2.0
465,tabler,39173,4132,HTML,MIT
466,memos,39143,2795,Go,MIT
467,bert,39070,9673,Python,Apache-2.0
468,jellyfin,39062,3476,C#,GPL-2.0
469,chinese-independent-developer,39052,3227,,
470,streamlit,39043,3412,Python,Apache-2.0
471,chakra-ui,38991,3400,TypeScript,MIT
472,cli,38980,6466,Go,MIT
473,Deep-Learning-Papers-Reading-Roadmap,38964,7349,Python,
474,php-src,38932,7842,C,NOASSERTION
475,materialize,38878,4724,JavaScript,MIT
476,mitmproxy,38873,4166,Python,MIT
477,wrk,38865,2985,C,NOASSERTION
478,esbuild,38858,1197,Go,MIT
479,50projects50days,38797,9462,CSS,MIT
480,zig,38739,2806,Zig,MIT
481,TrafficMonitor,38717,3419,C++,NOASSERTION
482,video.js,38704,7502,JavaScript,NOASSERTION
483,awesome-compose,38702,7249,HTML,CC0-1.0
484,freqtrade,38655,7608,Python,GPL-3.0
485,EasySpider,38618,4737,JavaScript,AGPL-3.0
486,FastChat,38468,4698,Python,Apache-2.0
487,Made-With-ML,38450,6091,Jupyter Notebook,MIT
488,tidb,38336,5925,Go,Apache-2.0
489,English-level-up-tips,38284,4199,HTML,
490,zju-icicles,38277,9496,HTML,
491,ruff,38117,1303,Rust,MIT
492,styleguide,38116,13014,HTML,NOASSERTION
493,DeepSpeed,38110,4346,Python,Apache-2.0
494,gorm,38069,3999,Go,MIT
495,vim,38016,5651,Vim Script,Vim
496,MPAndroidChart,37937,9037,Java,NOASSERTION
497,phaser,37842,7122,JavaScript,MIT
498,impress.js,37798,6649,JavaScript,MIT
499,penpot,37778,1947,Clojure,MPL-2.0
500,quivr,37750,3633,Python,NOASSERTION
501,curl,37713,6678,C,NOASSERTION
502,awesome-remote-job,37711,4116,,
503,gradio,37695,2867,Python,Apache-2.0
504,Flowise,37677,19594,TypeScript,Apache-2.0
505,fd,37676,870,Rust,Apache-2.0
506,bark,37575,4451,Jupyter Notebook,MIT
507,Summer2025-Internships,37571,2906,,
508,unsloth,37567,2931,Python,Apache-2.0
509,jsoncrack.com,37557,2479,TypeScript,NOASSERTION
510,ladybird,37535,1564,C++,BSD-2-Clause
511,leveldb,37506,7986,C++,BSD-3-Clause
512,GitHubDaily,37492,3929,,
513,free,37442,5722,,
514,aria2,37426,3695,C++,GPL-2.0
515,preact,37406,1987,JavaScript,MIT
516,zod,37386,1397,TypeScript,MIT
517,Open-Assistant,37330,3268,Python,Apache-2.0
518,Pake,37297,6751,Rust,MIT
519,freecodecamp.cn,37294,1376,CSS,NOASSERTION
520,shellcheck,37290,1811,Haskell,GPL-3.0
521,tmux,37225,2187,C,NOASSERTION
522,AI-For-Beginners,37203,6812,Jupyter Notebook,MIT
523,tutorials,37125,54333,Java,MIT
524,python-cheatsheet,37115,6609,Python,
525,trpc,37081,1353,TypeScript,MIT
526,helix,37080,2771,Rust,MPL-2.0
527,photoprism,37077,2050,Go,NOASSERTION
528,pandoc,37073,3495,Haskell,NOASSERTION
529,firecrawl,37066,3333,TypeScript,AGPL-3.0
530,ant-design-pro,37056,8185,TypeScript,MIT
531,pure-bash-bible,37055,3336,Shell,MIT
532,interview_internal_reference,36899,9467,Python,
533,Files,36890,2320,C#,MIT
534,novu,36839,4002,TypeScript,NOASSERTION
535,istio,36811,7943,Go,Apache-2.0
536,appsmith,36803,4019,TypeScript,Apache-2.0
537,ray,36775,6248,Python,Apache-2.0
538,docs,36745,396,MDX,
539,node,36706,571,Shell,MIT
540,GFPGAN,36642,6083,Python,NOASSERTION
541,ink-kit,36601,391,TypeScript,MIT
542,upscayl,36561,1682,TypeScript,AGPL-3.0
543,aspnetcore,36537,10312,C#,MIT
544,daisyui,36515,1443,JavaScript,MIT
545,chatgpt-on-wechat,36501,9138,Python,MIT
546,tesseract.js,36439,2288,JavaScript,Apache-2.0
547,JavaFamily,36433,7820,,
548,RSSHub,36422,7999,TypeScript,MIT
549,taro,36404,4828,TypeScript,NOASSERTION
550,slidev,36370,1505,TypeScript,MIT
551,deeplearningbook-chinese,36349,9144,TeX,
552,v,36281,2182,V,MIT
553,fiber,36225,1770,Go,MIT
554,wtfjs,36222,2602,JavaScript,WTFPL
555,wtfpython,36199,2675,Python,WTFPL
556,arthas,36196,7546,Java,Apache-2.0
557,insomnia,36195,2070,JavaScript,Apache-2.0
558,logseq,36190,2131,Clojure,AGPL-3.0
559,MockingBird,36183,5257,Python,NOASSERTION
560,devdocs,36168,2421,Ruby,MPL-2.0
561,manifesto,36119,1079,HTML,Apache-2.0
562,interview,35970,8043,C++,NOASSERTION
563,og-aws,35955,3892,Shell,CC-BY-4.0
564,ChatTTS,35952,3897,Python,AGPL-3.0
565,cal.com,35945,9241,TypeScript,NOASSERTION
566,googletest,35929,10334,C++,BSD-3-Clause
567,lerna,35926,2276,TypeScript,MIT
568,DragGAN,35915,3446,Python,NOASSERTION
569,gym,35865,8659,Python,NOASSERTION
570,ccxt,35801,7845,Python,MIT
571,Awesome-Design-Tools,35699,2113,JavaScript,MIT
572,date-fns,35687,1820,TypeScript,MIT
573,shadowsocks-android,35641,11560,Kotlin,NOASSERTION
574,sheetjs,35595,7993,,Apache-2.0
575,hello-algorithm,35584,6469,Java,
576,system-design,35559,4153,,NOASSERTION
577,plane,35548,2213,TypeScript,AGPL-3.0
578,ToolJet,35540,4561,JavaScript,AGPL-3.0
579,metasploit-framework,35431,14281,Ruby,NOASSERTION
580,google-research,35423,8075,Jupyter Notebook,Apache-2.0
581,koa,35419,3220,JavaScript,MIT
